,date,Name,state,FIPS,positive,AQI,date_str
1458,2020-03-16,Ohio,OH,39,1483,39.28571429,03/16/2020
43,2020-03-16,Alabama,AL,1,660,34.28571429,03/16/2020
1375,2020-03-16,Nevada,NV,32,829,56.57142857,03/16/2020
1293,2020-03-16,New Jersey,NJ,34,8411,39.14285714,03/16/2020
1163,2020-03-16,North Dakota,ND,38,128,33.14285714,03/16/2020
1207,2020-03-16,Nebraska,NE,31,240,27.28571429,03/16/2020
2040,2020-03-16,West Virginia,WV,54,49,31.71428571,03/16/2020
1248,2020-03-16,New Hampshire,NH,33,324,32.85714286,03/16/2020
1122,2020-03-16,North Carolina,NC,37,1073,29.28571429,03/16/2020
1040,2020-03-16,Mississippi,MS,28,781,33.0,03/16/2020
958,2020-03-16,Minnesota,MN,27,2174,51.14285714,03/16/2020
1999,2020-03-16,Wisconsin,WI,55,1819,42.0,03/16/2020
999,2020-03-16,Missouri,MO,29,438,36.14285714,03/16/2020
84,2020-03-16,Arkansas,AR,5,654,33.14285714,03/16/2020
125,2020-03-16,Arizona,AZ,4,678,69.42857143,03/16/2020
1334,2020-03-16,New Mexico,NM,35,368,48.71428571,03/16/2020
2082,2020-03-16,Wyoming,WY,56,135,36.85714286,03/16/2020
2,2020-03-16,Alaska,AK,2,114,48.71428571,03/16/2020
1081,2020-03-16,Montana,MT,30,131,48.71428571,03/16/2020
1788,2020-03-23,Texas,TX,48,11992,45.14285714,03/23/2020
418,2020-03-23,Georgia,GA,13,13625,33.28571429,03/23/2020
2083,2020-03-23,Wyoming,WY,56,458,38.57142857,03/23/2020
624,2020-03-23,Indiana,IN,18,7000,53.57142857,03/23/2020
1249,2020-03-23,New Hampshire,NH,33,1219,37.57142857,03/23/2020
1665,2020-03-23,South Carolina,SC,45,3872,38.28571429,03/23/2020
1912,2020-03-23,Vermont,VT,50,1270,42.57142857,03/23/2020
835,2020-03-23,Maryland,MD,24,5770,25.0,03/23/2020
706,2020-03-23,Kentucky,KY,21,1862,52.42857143,03/23/2020
1082,2020-03-23,Montana,MT,30,732,19.0,03/23/2020
1335,2020-03-23,New Mexico,NM,35,1294,43.85714286,03/23/2020
665,2020-03-23,Kansas,KS,20,1542,30.57142857,03/23/2020
1500,2020-03-23,Oklahoma,OK,40,2127,41.85714286,03/23/2020
1829,2020-03-23,Utah,UT,49,3654,54.42857143,03/23/2020
1459,2020-03-23,Ohio,OH,39,8264,39.85714286,03/23/2020
2041,2020-03-23,West Virginia,WV,54,521,38.28571429,03/23/2020
1624,2020-03-23,Rhode Island,RI,44,2013,45.28571429,03/23/2020
1000,2020-03-23,Missouri,MO,29,4417,52.42857143,03/23/2020
377,2020-03-23,Florida,FL,12,19021,44.0,03/23/2020
794,2020-03-23,Massachusetts,MA,25,22935,41.85714286,03/23/2020
126,2020-03-23,Arizona,AZ,4,5069,67.0,03/23/2020
249,2020-03-23,Connecticut,CT,9,9884,49.28571429,03/23/2020
1123,2020-03-23,North Carolina,NC,37,5583,34.85714286,03/23/2020
582,2020-03-23,Illinois,IL,17,22108,57.14285714,03/23/2020
208,2020-03-23,Colorado,CO,8,12157,59.28571429,03/23/2020
541,2020-03-23,Idaho,ID,16,1236,32.71428571,03/23/2020
1747,2020-03-23,Tennessee,TN,47,8355,50.57142857,03/23/2020
167,2020-03-23,California,CA,6,28140,77.0,03/23/2020
85,2020-03-23,Arkansas,AR,5,2517,35.14285714,03/23/2020
459,2020-03-23,Hawaii,HI,15,814,33.42857143,03/23/2020
1871,2020-03-23,Virginia,VA,51,4394,40.42857143,03/23/2020
918,2020-03-23,Michigan,MI,26,95776,50.42857143,03/23/2020
3,2020-03-23,Alaska,AK,2,547,38.57142857,03/23/2020
1041,2020-03-23,Mississippi,MS,28,4029,49.42857143,03/23/2020
