State Name,State Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
AK,2,1/26/20,62,Moderate,PM2.5,02-020-0018,3
AK,2,1/27/20,26,Good,PM2.5,02-020-0018,3
AK,2,1/28/20,37,Good,PM2.5,02-020-0018,3
AK,2,1/29/20,31,Good,PM2.5,02-020-0018,3
AK,2,1/30/20,40,Good,PM2.5,02-020-0018,3
AK,2,1/31/20,32,Good,PM2.5,02-020-0018,3
AK,2,2/1/20,53,Moderate,PM2.5,02-020-0018,3
AK,2,2/2/20,25,Good,PM2.5,02-020-0018,3
AK,2,2/3/20,17,Good,PM2.5,02-020-0018,3
AK,2,2/4/20,25,Good,PM2.5,02-020-0018,3
AK,2,2/5/20,22,Good,PM2.5,02-020-0018,3
AK,2,2/6/20,17,Good,PM2.5,02-020-0018,3
AK,2,2/7/20,34,Good,PM2.5,02-020-0018,3
AK,2,2/8/20,13,Good,PM2.5,02-020-0018,3
AK,2,2/9/20,15,Good,PM2.5,02-020-0018,3
AK,2,2/10/20,16,Good,PM2.5,02-020-0018,3
AK,2,2/11/20,16,Good,PM2.5,02-020-0018,3
AK,2,2/12/20,15,Good,PM2.5,02-020-0018,3
AK,2,2/13/20,32,Good,PM2.5,02-020-0018,3
AK,2,2/14/20,36,Good,PM2.5,02-020-0018,3
AK,2,2/15/20,33,Good,PM2.5,02-020-0018,3
AK,2,2/16/20,44,Good,PM2.5,02-020-0018,3
AK,2,2/17/20,7,Good,PM2.5,02-020-0018,3
AK,2,2/18/20,5,Good,CO,02-020-0018,3
AK,2,2/19/20,10,Good,CO,02-020-0018,3
AK,2,2/20/20,13,Good,PM2.5,02-020-0018,3
AK,2,2/21/20,14,Good,PM2.5,02-020-0018,3
AK,2,2/22/20,15,Good,PM2.5,02-020-0018,3
AK,2,2/23/20,28,Good,PM2.5,02-020-0018,3
AK,2,2/24/20,37,Good,PM2.5,02-020-0018,3
AK,2,2/25/20,26,Good,PM2.5,02-020-0018,3
AK,2,2/26/20,30,Good,PM2.5,02-020-0018,3
AK,2,2/27/20,40,Good,PM2.5,02-020-0018,3
AK,2,2/28/20,52,Moderate,PM2.5,02-020-0018,3
AK,2,2/29/20,25,Good,PM2.5,02-020-0018,3
AK,2,3/1/20,17,Good,PM2.5,02-020-0018,3
AK,2,3/2/20,13,Good,CO,02-020-0018,3
AK,2,3/3/20,18,Good,PM2.5,02-020-0018,3
AK,2,3/4/20,15,Good,PM2.5,02-020-0018,3
AK,2,3/5/20,28,Good,PM2.5,02-020-0018,3
AK,2,3/6/20,42,Good,PM2.5,02-020-0018,3
AK,2,3/7/20,13,Good,PM2.5,02-020-0018,3
AK,2,3/8/20,13,Good,PM2.5,02-020-0018,3
AK,2,3/9/20,11,Good,PM2.5,02-020-0018,3
AK,2,3/10/20,13,Good,PM2.5,02-020-0018,3
AK,2,3/11/20,33,Good,PM10,02-020-0045,3
AK,2,3/12/20,41,Good,PM10,02-020-0045,3
AK,2,3/13/20,49,Good,PM2.5,02-020-0018,3
AK,2,3/14/20,51,Moderate,PM2.5,02-020-0018,3
AK,2,3/15/20,45,Good,PM2.5,02-020-0018,3
AK,2,3/16/20,44,Good,PM2.5,02-020-0018,3
AK,2,3/17/20,38,Good,PM2.5,02-020-0018,3
AK,2,3/18/20,33,Good,PM2.5,02-020-0018,3
AK,2,3/19/20,41,Good,PM2.5,02-020-0018,3
AK,2,3/20/20,24,Good,PM2.5,02-020-0018,3
AK,2,3/21/20,20,Good,PM2.5,02-020-0018,3
AK,2,3/22/20,15,Good,PM2.5,02-020-0018,3
AK,2,3/23/20,46,Good,PM2.5,02-020-0018,3
AK,2,3/24/20,45,Good,PM2.5,02-020-0018,3
AK,2,3/25/20,41,Good,PM2.5,02-020-0018,3
AK,2,3/26/20,16,Good,PM10,02-020-1004,2
AK,2,3/27/20,30,Good,PM10,02-020-1004,2
AK,2,3/28/20,26,Good,PM10,02-020-1004,2
AK,2,3/29/20,34,Good,PM10,02-020-1004,2
AK,2,3/30/20,36,Good,PM10,02-020-1004,2
AK,2,3/31/20,42,Good,PM10,02-020-1004,2
AK,2,4/1/20,24,Good,PM10,02-020-1004,3
AK,2,4/2/20,10,Good,PM2.5,02-020-0018,3
AK,2,4/3/20,15,Good,PM2.5,02-020-0018,3
AK,2,4/4/20,19,Good,PM2.5,02-020-0018,3
AK,2,4/5/20,20,Good,PM10,02-020-0045,3
AK,2,4/6/20,41,Good,PM10,02-020-0045,3
AK,2,4/7/20,47,Good,PM10,02-020-0045,3
AK,2,4/8/20,29,Good,PM10,02-020-0045,3
AK,2,4/9/20,28,Good,PM10,02-020-1004,3
AK,2,4/10/20,37,Good,PM10,02-020-1004,3
AK,2,4/11/20,30,Good,PM10,02-020-1004,3
AK,2,4/12/20,23,Good,PM2.5,02-020-0018,3
AK,2,4/13/20,17,Good,PM2.5,02-020-0018,3
AK,2,4/14/20,19,Good,PM10,02-020-1004,3
AK,2,4/15/20,22,Good,PM10,02-020-0045,3
AK,2,4/16/20,11,Good,PM2.5,02-020-0018,3
AK,2,4/17/20,26,Good,PM10,02-020-0045,3
AK,2,4/18/20,26,Good,PM10,02-020-1004,3
AK,2,4/19/20,24,Good,PM10,02-020-1004,3
AK,2,4/20/20,6,Good,PM10,02-020-1004,3
AK,2,4/21/20,12,Good,PM10,02-020-1004,2
AK,2,4/22/20,27,Good,PM10,02-020-0045,3
AK,2,4/23/20,18,Good,PM10,02-020-1004,3
AK,2,4/24/20,22,Good,PM10,02-020-1004,3
AK,2,4/25/20,37,Good,PM10,02-020-1004,3
AK,2,4/26/20,24,Good,PM2.5,02-020-0018,3
AK,2,4/27/20,63,Moderate,PM10,02-020-0045,3
AK,2,4/28/20,56,Moderate,PM10,02-020-0045,3
AK,2,4/29/20,42,Good,PM10,02-020-0045,3
